0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:01 +0700] "GET /DiamonShop/assets/img/5.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:01 +0700] "GET /DiamonShop/assets/img/maestro.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:01 +0700] "GET /DiamonShop/assets/img/mc.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:01 +0700] "GET /DiamonShop/assets/img/6.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:01 +0700] "GET /DiamonShop/assets/img/pp.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:01 +0700] "GET /DiamonShop/assets/img/visa.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:01 +0700] "GET /DiamonShop/assets/img/disc.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:03 +0700] "GET /DiamonShop/AddCart/16 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:03 +0700] "GET /DiamonShop/ HTTP/1.1" 200 28292
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:03 +0700] "GET /DiamonShop/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:03 +0700] "GET /DiamonShop/assets/img/3.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:03 +0700] "GET /DiamonShop/assets/img/shopping-cart-template.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:03 +0700] "GET /DiamonShop/assets/img/4.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:03 +0700] "GET /DiamonShop/assets/img/1.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:03 +0700] "GET /DiamonShop/assets/img/2.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:03 +0700] "GET /DiamonShop/assets/img/6.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:03 +0700] "GET /DiamonShop/assets/img/visa.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:03 +0700] "GET /DiamonShop/assets/img/5.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:03 +0700] "GET /DiamonShop/assets/img/mc.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:03 +0700] "GET /DiamonShop/assets/img/pp.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:03 +0700] "GET /DiamonShop/assets/img/maestro.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:03 +0700] "GET /DiamonShop/assets/img/disc.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:05 +0700] "GET /DiamonShop/gio-hang HTTP/1.1" 404 695
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:05 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:50 +0700] "GET /DiamonShop/gio-hang HTTP/1.1" 404 695
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:01:54 +0700] "GET /DiamonShop/gio-hang HTTP/1.1" 404 695
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:02:00 +0700] "GET /DiamonShop/gio-hang HTTP/1.1" 200 8954
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:02:00 +0700] "GET /DiamonShop/assets/img/5.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:02:00 +0700] "GET /DiamonShop/assets/img/1.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:02:00 +0700] "GET /DiamonShop/assets/img/4.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:02:00 +0700] "GET /DiamonShop/assets/img/6.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:02:00 +0700] "GET /DiamonShop/assets/img/2.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:02:00 +0700] "GET /DiamonShop/assets/img/3.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:02:00 +0700] "GET /DiamonShop/assets/img/maestro.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:02:00 +0700] "GET /DiamonShop/assets/img/pp.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:02:00 +0700] "GET /DiamonShop/assets/img/visa.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:02:00 +0700] "GET /DiamonShop/assets/img/mc.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:02:00 +0700] "GET /DiamonShop/assets/img/disc.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:03:09 +0700] "GET /DiamonShop/gio-hang HTTP/1.1" 200 8954
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:03:09 +0700] "GET /DiamonShop/assets/img/1.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:03:09 +0700] "GET /DiamonShop/assets/img/2.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:03:09 +0700] "GET /DiamonShop/assets/img/3.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:03:09 +0700] "GET /DiamonShop/assets/img/5.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:03:09 +0700] "GET /DiamonShop/assets/img/4.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:03:09 +0700] "GET /DiamonShop/assets/img/6.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:03:09 +0700] "GET /DiamonShop/assets/img/maestro.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:03:09 +0700] "GET /DiamonShop/assets/img/mc.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:03:09 +0700] "GET /DiamonShop/assets/img/visa.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:03:09 +0700] "GET /DiamonShop/assets/img/pp.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [16/Sep/2024:16:03:09 +0700] "GET /DiamonShop/assets/img/disc.png HTTP/1.1" 404 604
